;stat;value;count;frequency
0;experience_level;1;100;1.0
2;experience_level;2;97;0.97
1;experience_level;3;97;0.97
3;experience_level;4;96;0.96
4;experience_level;5;93;0.93
5;experience_level;6;87;0.87
6;experience_level;7;78;0.78
7;experience_level;8;58;0.58
8;experience_level;9;39;0.39
9;experience_level;10;18;0.18
10;experience_level;11;6;0.06
11;level_number;1;100;1.0
12;level_number;2;61;0.61
13;level_number;3;52;0.52
14;level_number;4;43;0.43
15;level_number;5;29;0.29
16;level_number;6;15;0.15
17;level_number;7;12;0.12
18;level_number;8;7;0.07
19;level_number;9;6;0.06
20;level_number;10;4;0.04
21;level_number;11;3;0.03
22;level_number;12;1;0.01
